FF-OUT,BESSEL-OUT,NO-FILTER,TIMESTAMP
0.013567108,0.019850942,-0.03466771, 2022-11-01 14:38:55.507508
0.015687262,0.01700096,-0.027657034, 2022-11-01 14:38:55.512462
0.01488281,0.008103452,-0.011440604, 2022-11-01 14:38:55.517361
0.010410505,-0.004402067,0.008231605, 2022-11-01 14:38:55.522284
0.002883249,-0.016134889,0.025628553, 2022-11-01 14:38:55.527213
-0.005839835,-0.023510328,0.037076718, 2022-11-01 14:38:55.532139
-0.012891717,-0.023404895,0.040118324, 2022-11-01 14:38:55.537078
-0.015826415,-0.015777838,0.034489468, 2022-11-01 14:38:55.541998
-0.01377582,-0.002441972,0.02252185, 2022-11-01 14:38:55.546931
-0.0071228,0.01210696,0.008398695, 2022-11-01 14:38:55.551860
0.002373133,0.024396094,-0.003661881, 2022-11-01 14:38:55.556792
0.012291667,0.031512505,-0.010305147, 2022-11-01 14:38:55.561716
0.019921521,0.031922783,-0.010381245, 2022-11-01 14:38:55.566651
0.023874561,0.026161238,-0.004451778, 2022-11-01 14:38:55.571580
0.023152596,0.016511522,0.005469213, 2022-11-01 14:38:55.576740
0.01885944,0.006266218,0.014564507, 2022-11-01 14:38:55.581658
0.012642102,-0.001583462,0.020655696, 2022-11-01 14:38:55.586594
0.006556508,-0.004994745,0.022179013, 2022-11-01 14:38:55.591512
0.00212813,-0.00374312,0.019517405, 2022-11-01 14:38:55.596490
0.000543421,0.00135634,0.015012702, 2022-11-01 14:38:55.601414
0.002069384,0.008322068,0.01172133, 2022-11-01 14:38:55.606344
0.005486527,0.014417944,0.012283652, 2022-11-01 14:38:55.611264
0.009566246,0.018015371,0.016583651, 2022-11-01 14:38:55.616193
0.013001875,0.018860801,0.021979526, 2022-11-01 14:38:55.621119
0.015082713,0.017458795,0.025501799, 2022-11-01 14:38:55.626047
0.015731189,0.015689984,0.025682952, 2022-11-01 14:38:55.630974
0.015565989,0.014922541,0.022882984, 2022-11-01 14:38:55.635906
0.015431637,0.016186831,0.018062965, 2022-11-01 14:38:55.640832
0.016126497,0.018956519,0.011655061, 2022-11-01 14:38:55.645759
0.017709808,0.021801246,0.004129242, 2022-11-01 14:38:55.650683
0.019653307,0.02339121,-0.00345453, 2022-11-01 14:38:55.655612
0.020886522,0.022570768,-0.009911578, 2022-11-01 14:38:55.660533
0.0211206,0.019560349,-0.014447771, 2022-11-01 14:38:55.665470
0.019738326,0.014688577,-0.016339858, 2022-11-01 14:38:55.670393
0.016890764,0.008585972,-0.015181191, 2022-11-01 14:38:55.675336
0.012480305,0.001735657,-0.011249849, 2022-11-01 14:38:55.680252
0.007335443,-0.004555624,-0.005948217, 2022-11-01 14:38:55.685195
0.001763027,-0.009733374,-0.000256759, 2022-11-01 14:38:55.690122
-0.003056047,-0.012697748,0.006017586, 2022-11-01 14:38:55.695048
-0.007150283,-0.013587257,0.012589669, 2022-11-01 14:38:55.699976
-0.009314969,-0.011829863,0.018981847, 2022-11-01 14:38:55.704912
-0.009838467,-0.008087802,0.024734735, 2022-11-01 14:38:55.709834
-0.0083136,-0.003037637,0.029277392, 2022-11-01 14:38:55.714763
-0.005476812,0.002556176,0.031374259, 2022-11-01 14:38:55.719689
-0.001354375,0.008796498,0.029845687, 2022-11-01 14:38:55.724623
0.003524769,0.014841378,0.024855705, 2022-11-01 14:38:55.729538
0.008877435,0.020676979,0.01889524, 2022-11-01 14:38:55.734472
0.014245448,0.025122029,0.013970468, 2022-11-01 14:38:55.739394
0.018914746,0.027940029,0.010257931, 2022-11-01 14:38:55.744325
0.022476449,0.028191004,0.007256018, 2022-11-01 14:38:55.749252
0.024527838,0.026275479,0.004798018, 2022-11-01 14:38:55.754178
0.024599022,0.022283463,0.002908652, 2022-11-01 14:38:55.759104
